lang_index,word_index,word
πόσες φορές;
how many times?
πόσες ώρες;
how many hours?
πόσα χρόνια;
how many years?
πόση ώρα;
how long (short)
πόσο καιρό;
how long (long)
τι ώρα είναι;
what time is it?
τι θέλετε να πιείτε;
what do you want to drink?
πόσο χρονών είσαι;
how old are you?
πως σε λένε;
how do people call you?
ποιος είσαι;
who are you?
ποιο είναι το όνομα σου;
what is your name?
πώς τον λένε;
how do they call him?
πώς την λένε;
how do they call her?
που
where
τι
what
πως
how
γιατί
"why, because"
ποιος
"who, which"
πόσο κάνει μία ντομάτα;
how much is a tomato?
