lang_index,word_index,word
1,468,πάντα
2,468,always
1,469,τα πάντα
2,469,everything
1,470,τα πάντα
2,470,everywhere
1,471,κάπου
2,471,somewhere
1,472,κάποτε
2,472,"someday, once"
1,473,κάποιος
2,473,someone
1,474,πες μου
2,474,tell me
1,475,πείτε μας
2,475,tell us
1,476,φάε
2,476,eat
1,477,φάε το
2,477,eat it
1,478,έλα 
2,478,come
1,479,μάλιστα
2,479,"indeed, sure"
1,480,λοιπόν
2,480,"well, so"
1,481,πάλι
2,481,again
1,482,μαθητής
2,482,pupil
1,483,μαθήτρια
2,483,schoolgirl
1,484,χώρα
2,484,country
1,485,γραμματέας
2,485,secretary
1,486,απόγευμα
2,486,afternoon
1,487,επώνυμο
2,487,surname
1,488,φέτος
2,488,this year
