lang_index,word_index,word
1,300,είναι πάντα έτσι;
2,300,is it always like this?
1,301,τίποτα
2,301,nothing
1,302,νομίζω ναι
2,302,I think so
1,303,κλιματιστικό
2,303,air conditioner
1,304,αν
2,304,if
1,305,το χρησιμοποιώ
2,305,I am using it
1,306,κάνει πολύ ζέστη
2,306,it is too hot
1,307,μόνο αυτό
2,307,just this
1,308,αρκετά
2,308,enough
1,309,κακός
2,309,bad
1,310,θα το κάνω όταν πας για ύπνο
2,310,i'll do it when you go to sleep
1,311,θα το κάνω πριν έρθεις εδώ
2,311,i'll do it before you come here
1,312,θα το κάνω αφού φτάσεις
2,312,i'll do it after you arrive
1,313,θα κοιμηθώ
2,313,I will sleep
1,314,θα μαγειρέψω
2,314,I will cook
1,315,μαγειρεύω
2,315,I am cooking
1,316,κάθομαι εδώ
2,316,I am sitting here
1,317,θα καθίσω
2,317,I will sit
1,318,θα ξεκινήσω
2,318,I will start
1,319,ξεκίνησα
2,319,I started
1,320,θα ξεκινήσω αργότερα
2,320,I will start later
1,321,σταμάτησα
2,321,I stopped
1,322,θα σταματήσω
2,322,I will stop
1,323,μπορείς να ανάψεις τα φώτα;
2,323,can you turn on the lights?
1,324,φως
2,324,light
1,325,παρακαλώ ανοίξτε την πόρτα
2,325,please open the door
1,326,παρακαλώ κλείστε την πόρτα
2,326,please close the door
1,327,αγοράζω
2,327,I buy
1,328,αγόρασα
2,328,I bought
1,329,βλέπεις εμένα
2,329,you see me
1,330,με βλέπεις
2,330,you see me
1,331,θέλεις να πεις κάτι σε εμένα
2,331,you want to tell something to me
1,332,θέλεις να μου πεις κάτι
2,332,you want to tell something to me
1,333,στέλνω
2,333,I send
1,334,θα στείλω
2,334,I will send
1,335,έστειλα
2,335,I sent
1,336,θα αγοράσω
2,336,I will buy
1,337,πηγαίνω
2,337,I go
1,338,θα πάω
2,338,I will go
1,339,πήγα
2,339,I went
1,340,ρωτάω
2,340,I ask
1,341,θα ρωτήσω
2,341,I will ask
1,342,ρώτησα
2,342,I asked
1,343,θα την δω αύριο
2,343,I will see her tomorrow
1,344,θα τον δω αύριο
2,344,I will see him tomorrow
1,345,ο γιατρός θα με δει αύριο
2,345,the doctor will see me tomorrow
1,346,θα κλείσω ένα τραπέζι
2,346,I will book a table
1,347,μας έκλεισα ένα τραπέζι
2,347,I booked us a table
1,348,οι μονόκεροι δεν υπάρχουν
2,348,unicorns don’t exist
1,349,το ετοιμάζω
2,349,I am preparing it
1,350,θα το ετοιμάσω
2,350,I will prepare it
1,351,ποιος το ετοίμασε;
2,351,who prepared it?
1,352,το ετοίμασα
2,352,I prepared it
1,353,είναι ήδη εδώ
2,353,it’s already here
1,354,γεννήθηκα πριν από τριάντα χρόνια
2,354,I was born 30 years ago
1,355,έχασα το λεωφορείο
2,355,I missed the bus
1,356,μου λείπεις
2,356,I miss you
1,357,σου έλειψα;
2,357,did you miss me?
1,358,ήρθα πριν από πέντε λεπτά
2,358,I came 5 minutes ago
1,359,θα έρθω αργότερα
2,359,I will come later
1,360,έρχομαι σπίτι
2,360,I’m coming home
1,361,οδηγώ
2,361,I’m driving
1,362,θα την οδηγήσω αργότερα
2,362,I will drive her later
1,363,σε αγαπώ
2,363,I love you
1,364,θα αγαπήσω
2,364,I will love
1,365,το λατρεύω
2,365,I love it
1,366,είναι έτσι
2,366,it is like this
1,367,συμφωνώ μαζί σου
2,367,I agree with you
1,368,απολύτως
2,368,absolutely
1,369,στα σίγουρα
2,369,for sure
1,370,φυσικά
2,370,of course
1,371,είναι σωστό
2,371,it is correct
1,372,απάντησες σωστά
2,372,you answered correctly
1,373,είναι καλύτερο
2,373,it is better
1,374,είναι πολύ καλύτερα από χθες
2,374,is it much better than yesterday
1,375,πατάω το κουμπί
2,375,I am pressing the button
1,376,απέναντι
2,376,across
1,377,ο λόφος
2,377,the hill
1,378,τα Χριστούγεννα
2,378,christmas
1,379,ακριβώς
2,379,exactly
1,380,νησί
2,380,island
1,381,τελικά
2,381,eventually
1,382,η κίνηση
2,382,traffic
1,383,η γιορτή
2,383,the celebration
1,384,συχνά
2,384,often
1,385,ο πρώτος
2,385,first
1,386,κρέας
2,386,meat
1,387,κρεοπωλείο
2,387,butcher shop
1,388,το ιατρείο
2,388,clinic
1,389,ο έτοιμος
2,389,ready
1,390,έτσι κι έτσι
2,390,so and so
1,391,o γείτονας
2,391,male neighbor
1,392,η γειτόνισσα
2,392,female neighbor
1,393,σαράντα κόμμα πέντε
2,393,40.5
1,394,σαράντα μισό
2,394,40.5
1,395,χιλιάδες
2,395,thousands
1,396,το παλτό
2,396,the coat
1,397,το χιόνι
2,397,snow
1,398,το τέταρτο
2,398,a quarter
1,399,ο τέταρτος
2,399,fourth
1,400,τα πάντα
2,400,everything
1,401,απόψε
2,401,tonight
1,402,μυς
2,402,muscle
1,403,ο μήνας
2,403,month
1,404,o ιχθύς
2,404,fish
1,405,ιχθυοπωλείο
2,405,fish shop
1,406,ο δάσκαλος
2,406,teacher
1,407,το μαγαζί
2,407,"shop, store"
1,408,η φύση
2,408,nature
1,409,λιγότερο
2,409,less
1,410,ο γονιός
2,410,parent
1,411,το έργο
2,411,the project
1,412,ο περίεργος
2,412,curious
1,413,το κάπνισμα
2,413,smoking
1,414,είμαι κουρασμένος
2,414,I am tired
1,415,το μέλλον
2,415,the future
