lang_index,word_index,word
1,65,όμορφη
2,65,beautiful
1,66,λίγο
2,66,a little
1,67,δύσκολο
2,67,difficult
1,68,μαζί
2,68,together
1,69,παίζo
2,69,i play
1,70,πάω
2,70,i go
1,71,πιο νωρίς
2,71,earlier
1,72,κοντά
2,72,close
1,73,πιο κοντά
2,73,closer
1,74,κάθε μέρα
2,74,every day
1,75,πάνω
2,75,on
1,76,πάνω από
2,76,above
1,77,κάτω από
2,77,below
1,78,μέσα
2,78,in
1,79,έξω από το σπίτι
2,79,out of the house
1,80,έξω στον δρόμο
2,80,outside on the street
1,81,μετά
2,81,after
1,82,πιο
2,82,more
1,83,ο τρελός
2,83,crazy
1,84,νωρίς
2,84,early
1,85,το εσωτερικό
2,85,"interior, in the country"
1,86,το εξωτερικό
2,86,"exterior, abroad"
1,87,δίπλα
2,87,next to
1,88,το μέλλον
2,88,the future
1,89,η κούπα
2,89,"mug, cup"
1,90,η μέση
2,90,middle
1,91,ο μισός
2,91,half
1,92,το πρωί
2,92,morning
1,93,το μεσημέρι
2,93,midday
1,94,ο κουρασμένος
2,94,tired
1,95,πόσο κάνει;
2,95,how much does it cost?
1,96,πόσο έχει;
2,96,how much does it cost?
1,97,πόσο είναι;
2,97,how much is it?
1,98,πόσο κοστίζει;
2,98,how much does it cost?
1,99,χάρηκα or χάρηκα πολύ
2,99,it is nice to meet you
1,100,τα λέμε
2,100,see you (sometime)
1,101,καλή συνέχεια
2,101,good rest of the day
1,102,καλό μεσημέρι
2,102,good midday
1,103,καλό απόγευμα
2,103,good afternoon
1,104,καλό βράδυ
2,104,good evening
1,105,καληνύχτα
2,105,good night
1,106,ορίστε
2,106,there you go
1,107,μήλα
2,107,apples
1,108,το ψάρι
2,108,a fish
1,109,ο μεζές
2,109,appetizer
1,110,οι μεζέδες
2,110,appetizers
1,111,το τσάι
2,111,tea
1,112,το αυγό
2,112,egg
1,113,η ντομάτα
2,113,tomato
1,114,το τυρί
2,114,cheese
1,115,το αγγούρι
2,115,cucumber
1,116,το κρεμμύδι
2,116,onion
1,117,η ελιά
2,117,olive
1,118,οι ελιές
2,118,olives
1,119,το σκόρδο
2,119,garlic
1,120,η φράουλα
2,120,strawberry
1,121,το πεπόνι
2,121,melon
1,122,η αγορά
2,122,the market
1,123,η λαϊκή
2,123,farmers market
1,124,το πρωινό
2,124,breakfast
1,125,το μεσημεριανό
2,125,lunch
1,126,το κρύο
2,126,cold
1,127,ο ήλιος
2,127,sun
1,128,το σύννεφο
2,128,cloud
1,129,τα σύννεφα
2,129,clouds
1,130,η βροχή
2,130,rain
1,131,η ζέστη
2,131,warm
1,132,ο αέρας
2,132,"wind, air"
1,133,βόλτα
2,133,"a walk, a stroll"
1,134,σκυλί
2,134,dog
1,135,μάθημα
2,135,a lesson
1,136,σήμερα
2,136,today
1,137,μερα
2,137,day
1,138,οδός
2,138,street
1,139,αύριο
2,139,tomorrow
1,140,τραπέζι
2,140,table
1,141,γραφείο
2,141,office
1,142,καναπές
2,142,couch
1,143,φαγητό
2,143,food
1,144,φούρνο
2,144,oven
1,145,ψυγείο
2,145,fridge
1,146,κόρες
2,146,daughters
1,147,κορίτσια
2,147,girls
1,148,το πόδι
2,148,legs
1,149,η ζωή
2,149,life
1,150,ο ύπνος
2,150,sleep
1,151,ο μονός
2,151,"odd, single dose"
1,152,η θάλασσα
2,152,the sea
1,153,το λεπτό
2,153,minute
1,154,τα λεπτά
2,154,minutes
1,155,η πόλη
2,155,city
1,156,η παραλία
2,156,beach
1,157,ο λαός
2,157,the people
1,158,το χωριό
2,158,village
1,159,ο χωριάτικος
2,159,made in the village
1,160,η μορφή
2,160,shape
1,161,η μόρφωση
2,161,education
1,162,η φορά
2,162,time
1,163,οι φορές
2,163,times
1,164,το φως
2,164,the light
1,165,ο γιος
2,165,son
1,166,οι γιοι
2,166,sons
1,167,πόσες φορές;
2,167,how many times?
1,168,πόσες ώρες;
2,168,how many hours?
1,169,πόσα χρόνια;
2,169,how many years?
1,170,πόση ώρα;
2,170,how long (short)
1,171,πόσο καιρό;
2,171,how long (long)
1,172,τι ώρα είναι;
2,172,what time is it?
1,173,τι θέλετε να πιείτε;
2,173,what do you want to drink?
1,174,πόσο χρονών είσαι;
2,174,how old are you?
1,175,πως σε λένε;
2,175,how do people call you?
1,176,ποιος είσαι;
2,176,who are you?
1,177,ποιο είναι το όνομα σου;
2,177,what is your name?
1,178,πώς τον λένε;
2,178,how do they call him?
1,179,πώς την λένε;
2,179,how do they call her?
1,180,που
2,180,where
1,181,τι
2,181,what
1,182,πως
2,182,how
1,183,γιατί
2,183,"why, because"
1,184,ποιος
2,184,"who, which"
1,185,πόσο κάνει μία ντομάτα;
2,185,how much is a tomato?
1,186,βλέπω
2,186,i see
1,187,θα δω
2,187,i will see
1,188,θα δω εσάς
2,188,i will see you (plural)
1,189,θα σε δω
2,189,i will see you (singular)
1,190,πας βόλτα
2,190,you go for a walk
1,191,θέλω
2,191,i want
1,192,πιω
2,192,i drink
1,193,τι θέλεις να πιούμε;
2,193,what do you want us to drink?
1,194,κάνουμε
2,194,we are doing
1,195,μαθαίνω
2,195,i am learning
1,196,περπατάω
2,196,i walk
1,197,περπατάω μέσα από το πάρκο
2,197,i walk through the park
